PLAYER;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG_per;3PM;3PA;3P_per;FTM;FTA;FT_per;OREB;DREB;REB;AST;TOV;STL;BLK;PF;DD2;TD3;plus_minus
Dwyane Wade;MIA;34;74;43;31;30.5;19.0;7.3;16.0;45.6;0.1;0.6;15.9;4.4;5.5;79.3;1.1;3.0;4.1;4.6;2.7;1.1;0.6;1.6;2;0;-0.1
Reggie Jackson;DET;26;79;43;36;30.7;18.8;6.8;15.7;43.4;1.5;4.2;35.3;3.7;4.3;86.4;0.7;2.5;3.2;6.2;2.8;0.7;0.1;2.4;9;0;1.6
Karl-Anthony Towns;MIN;20;82;29;53;32.0;18.3;7.6;14.1;54.2;0.4;1.1;34.1;2.7;3.4;81.1;2.8;7.7;10.5;2.0;2.2;0.7;1.7;3.0;52;0;-1.6
Dirk Nowitzki;DAL;38;75;38;37;31.5;18.3;6.6;14.8;44.8;1.7;4.6;36.8;3.3;3.7;89.3;0.7;5.8;6.5;1.8;1.1;0.7;0.7;2.1;10;0;3.4
Nikola Vucevic;ORL;25;65;28;37;31.3;18.2;8.2;16.1;51.0;0.0;0.1;22.2;1.7;2.3;75.3;2.7;6.2;8.9;2.8;1.9;0.8;1.1;2.7;29;0;-0.7
Khris Middleton;MIL;24;79;33;46;36.1;18.2;6.4;14.5;44.4;1.8;4.6;39.6;3.5;3.9;88.8;0.6;3.3;3.8;4.2;2.3;1.7;0.2;2.6;1;0;-0.4
LaMarcus Aldridge;SAS;30;74;61;13;30.6;18.0;7.2;14.1;51.3;0.0;0.2;0.0;3.5;4.1;85.8;2.4;6.2;8.5;1.5;1.3;0.5;1.1;2.0;26;0;6.9
Kobe Bryant;LAL;37;66;13;53;28.2;17.6;6.0;16.9;35.8;2.0;7.1;28.5;3.5;4.3;82.6;0.6;3.1;3.7;2.8;2.0;0.9;0.2;1.7;2;0;-8.7
Jahlil Okafor;PHI;20;53;6;47;30.0;17.5;7.5;14.7;50.8;0.0;0.1;16.7;2.5;3.7;68.6;2.3;4.7;7.0;1.2;2.3;0.4;1.2;2.6;11;0;-9.4
Bradley Beal;WAS;23;55;28;27;31.1;17.4;6.5;14.5;44.9;1.9;4.9;38.7;2.5;3.2;76.7;0.7;2.7;3.4;2.9;2.0;1.0;0.2;2.1;0;0;-0.4
Rudy Gay;SAC;29;70;29;41;34.0;17.2;6.7;14.4;46.3;1.1;3.1;34.4;2.8;3.6;78.0;1.5;5.0;6.5;1.7;2.0;1.4;0.7;2.6;7;0;-1.2
Paul Millsap;ATL;31;81;48;33;32.7;17.1;6.2;13.2;47.0;0.9;2.9;31.9;3.8;5.0;75.7;2.4;6.6;9.0;3.3;2.4;1.8;1.7;2.9;32;0;2.7
Ryan Anderson;NOP;28;66;24;42;30.4;17.0;6.0;14.1;42.7;2.0;5.4;36.6;3.0;3.5;87.3;2.0;4.0;6.0;1.1;1.4;0.6;0.4;1.7;8;0;0.5
Giannis Antetokounmpo;MIL;21;80;32;48;35.3;16.9;6.4;12.7;50.6;0.4;1.4;25.7;3.7;5.1;72.4;1.4;6.2;7.7;4.3;2.6;1.2;1.4;3.2;21;5;-2.1
Jrue Holiday;NOP;26;65;27;38;28.2;16.8;6.3;14.4;43.9;1.3;4.0;33.6;2.8;3.3;84.3;0.4;2.6;3.0;6.0;2.6;1.4;0.3;2.3;5;0;0.4
Marc Gasol;MEM;31;52;30;22;34.4;16.6;6.3;13.6;46.4;0.0;0.1;66.7;3.9;4.7;82.9;1.1;5.8;7.0;3.8;2.3;1.0;1.3;2.7;9;1;0.2
Pau Gasol;CHI;35;72;36;36;31.8;16.5;6.5;13.8;46.9;0.3;1.0;34.8;3.2;4.0;79.2;2.2;8.9;11.0;4.1;2.3;0.6;2.0;2.1;46;2;0.0
Derrick Favors;UTA;24;62;30;32;32.0;16.4;6.7;13.1;51.5;0.0;0.1;0.0;2.9;4.1;70.9;2.7;5.4;8.1;1.5;1.7;1.2;1.5;2.4;19;0;1.6
Derrick Rose;CHI;27;66;32;34;31.8;16.4;6.8;15.9;42.7;0.7;2.3;29.3;2.2;2.7;79.3;0.7;2.7;3.4;4.7;2.7;0.7;0.2;1.3;1;0;-2.5
JJ Redick;LAC;32;75;50;25;28.0;16.3;5.6;11.7;48.0;2.7;5.6;47.5;2.4;2.7;88.8;0.1;1.7;1.9;1.4;1.0;0.6;0.1;1.8;0;0;6.8
Andre Drummond;DET;22;81;43;38;32.9;16.2;6.8;13.1;52.1;0.0;0.1;33.3;2.6;7.2;35.5;4.9;9.9;14.8;0.8;1.9;1.5;1.4;3.0;66;0;1.6
